RadioId;Experiment;Room;TrackerId;ObjectId;Xr;Yr;Zr;Xrgt;Yrgt;Zrgt
104;13_14_15;Bedroom;K;Lamp.019;-7.631;0.049;0.193;-7.726;0.053;0.348
105;14_15_16;LivingRoom;D;Chair;-1.151;-0.236;0.861;-1.244;-0.377;0.557
106;14_15_16;LivingRoom;E;Table.001;-1.175;0.669;0.219;-1.196;0.731;0.348
107;14_15_16;LivingRoom;F;Vase.006;-1.954;-0.752;1.05;-2.09;-0.953;0.866
108;14_15_16;Bathroom;G;Sink;-4.444;-0.843;0.827;-4.68;-0.967;0.726
109;14_15_16;Bathroom;H;Toilet;-5.289;-0.014;0.431;-5.983;-0.403;0.467
110;14_15_16;Kitchen;I;Sink.001;-8.98;3.578;0.374;-8.803;3.63;0.708
111;14_15_16;Kitchen;J;Shelf.003;-7.382;2.769;1.97;-7.674;2.667;1.837
112;14_15_16;Bedroom;K;Lamp.019;-7.624;0.046;0.198;-7.726;0.053;0.348
113;15_16_17;LivingRoom;D;Chair;-1.243;-0.246;0.519;-1.244;-0.377;0.557
114;15_16_17;LivingRoom;E;Table.001;-1.23;0.819;0.399;-1.196;0.731;0.348
115;15_16_17;LivingRoom;F;Vase.006;-3.27;-0.528;1.597;-2.09;-0.953;0.866
116;15_16_17;Bathroom;G;Sink;-4.149;-0.764;0.914;-4.68;-0.967;0.726
117;15_16_17;Bathroom;H;Toilet;-5.592;-0.068;0.1;-5.983;-0.403;0.467
118;15_16_17;Kitchen;I;Sink.001;-8.988;3.582;0.354;-8.803;3.63;0.708
119;15_16_17;Kitchen;J;Shelf.003;-7.383;2.767;1.95;-7.674;2.667;1.837
120;15_16_17;Bedroom;K;Lamp.019;-7.612;0.056;0.189;-7.726;0.053;0.348
121;16_17_18;LivingRoom;D;Chair;-1.238;-0.229;0.7;-1.244;-0.377;0.557
122;16_17_18;LivingRoom;E;Table.001;-1.262;0.929;0.418;-1.196;0.731;0.348
123;16_17_18;LivingRoom;F;Vase.006;-1.953;-0.78;1.153;-2.09;-0.953;0.866
124;16_17_18;Bathroom;G;Sink;-4.534;-0.848;0.733;-4.68;-0.967;0.726
125;16_17_18;Bathroom;H;Toilet;-5.573;-0.024;0.118;-5.983;-0.403;0.467
126;16_17_18;Kitchen;I;Sink.001;-8.973;3.59;0.382;-8.803;3.63;0.708
127;16_17_18;Kitchen;J;Shelf.003;-7.377;2.752;1.932;-7.674;2.667;1.837
128;16_17_18;Bedroom;K;Lamp.019;-7.606;0.084;0.177;-7.726;0.053;0.348
129;17_18_19;LivingRoom;D;Chair;-1.25;-0.246;0.563;-1.244;-0.377;0.557
130;17_18_19;LivingRoom;E;Table.001;-1.232;0.778;0.428;-1.196;0.731;0.348
131;17_18_19;LivingRoom;F;Vase.006;-1.981;-0.759;1.087;-2.09;-0.953;0.866
132;17_18_19;Bathroom;G;Sink;-4.482;-0.841;0.761;-4.68;-0.967;0.726
133;17_18_19;Bathroom;H;Toilet;-5.595;-0.013;0.098;-5.983;-0.403;0.467
134;17_18_19;Kitchen;I;Sink.001;-8.973;3.585;0.391;-8.803;3.63;0.708
135;17_18_19;Kitchen;J;Shelf.003;-7.378;2.749;1.932;-7.674;2.667;1.837
136;17_18_19;Bedroom;K;Lamp.019;-3.763;1.941;-2.434;-7.726;0.053;0.348
137;18_19_20;LivingRoom;D;Chair;-1.249;-0.259;0.547;-1.244;-0.377;0.557
138;18_19_20;LivingRoom;E;Table.001;-1.23;0.78;0.456;-1.196;0.731;0.348
139;18_19_20;LivingRoom;F;Vase.006;-1.964;-0.765;1.09;-2.09;-0.953;0.866
140;18_19_20;Bathroom;G;Sink;-4.489;-0.833;0.757;-4.68;-0.967;0.726
141;18_19_20;Bathroom;H;Toilet;-5.585;-0.02;0.11;-5.983;-0.403;0.467
142;18_19_20;Kitchen;I;Sink.001;-8.973;3.578;0.382;-8.803;3.63;0.708
143;18_19_20;Kitchen;J;Shelf.003;-7.367;2.738;1.925;-7.674;2.667;1.837
144;18_19_20;Bedroom;K;Lamp.019;-7.636;0.036;0.215;-7.726;0.053;0.348
145;19_20_21;LivingRoom;D;Chair;-0.223;-0.332;3.441;-1.244;-0.377;0.557
146;19_20_21;LivingRoom;E;Table.001;-1.228;0.767;0.392;-1.196;0.731;0.348
147;19_20_21;LivingRoom;F;Vase.006;-1.971;-0.814;1.017;-2.09;-0.953;0.866
148;19_20_21;Bathroom;G;Sink;-4.476;-0.841;0.779;-4.68;-0.967;0.726
149;19_20_21;Bathroom;H;Toilet;-5.587;-0.026;0.118;-5.983;-0.403;0.467
150;19_20_21;Kitchen;I;Sink.001;-8.972;3.586;0.385;-8.803;3.63;0.708
151;19_20_21;Kitchen;J;Shelf.003;-7.374;2.743;1.937;-7.674;2.667;1.837
152;19_20_21;Bedroom;K;Lamp.019;-8.185;-0.026;-0.188;-7.726;0.053;0.348
153;20_21_22;LivingRoom;D;Chair;-1.251;-0.258;0.616;-1.244;-0.377;0.557
154;20_21_22;LivingRoom;E;Table.001;-1.245;0.79;0.376;-1.196;0.731;0.348
155;20_21_22;LivingRoom;F;Vase.006;-1.939;-0.759;1.006;-2.09;-0.953;0.866
